bug_id,num_explanations,normalized_readability_score
HIT01_8,1,-1.4122829559193848
HIT01_8,1,-0.3760330938773682
HIT01_8,1,-0.826330761201081
HIT01_8,10,-0.3091478755092016
HIT01_8,15,0.6686951761268107
HIT01_8,20,1.4279837114048697
HIT01_8,25,-1.2116273008148852
HIT01_8,3,0.13361342918147784
HIT01_8,3,2.1392279348973453
HIT01_8,3,-0.6058921541848699
HIT01_8,31,-0.038780866049148405
HIT01_8,5,0.41057475594543547
HIT02_24,1,-0.22145800468181123
HIT02_24,1,2.29828447623349
HIT02_24,1,-0.8571333572134048
HIT02_24,10,-1.431106587490239
HIT02_24,18,-0.6533728604651285
HIT02_24,3,0.16166912652797572
HIT02_24,3,-0.1884545439408927
HIT02_24,3,0.4386112101365481
HIT02_24,5,0.4529605408934691
HIT03_6,1,-0.3342301826733021
HIT03_6,1,-2.6011303278961853
HIT03_6,1,0.7636677611321453
HIT03_6,10,-0.3956931850158681
HIT03_6,15,-0.6282884683906774
HIT03_6,20,-0.358333320846857
HIT03_6,25,0.4045310023461705
HIT03_6,3,-0.29325484777825755
HIT03_6,3,1.5458145948640174
HIT03_6,3,0.5503549882961807
HIT03_6,31,0.7467955644106564
HIT03_6,5,0.5997664215519688
HIT04_7,1,1.262694779612013
HIT04_7,1,2.601574999336281
HIT04_7,1,0.16724732711033832
HIT04_7,10,-0.8064837417800391
HIT04_7,15,-0.8425478554426459
HIT04_7,20,-0.10143031967608099
HIT04_7,25,0.3773207891950215
HIT04_7,3,-0.23937555443555122
HIT04_7,3,0.6640304928127437
HIT04_7,3,-0.3944512431847594
HIT04_7,30,-1.0472117004779382
HIT04_7,35,-1.2031889920687115
HIT04_7,44,0.4142865056991929
HIT04_7,5,-0.8524654866998627
HIT05_35,1,-0.162574913154038
HIT05_35,1,2.748740911785922
HIT05_35,1,-0.9258975362163225
HIT05_35,10,0.05790339372609672
HIT05_35,15,-0.09409301480490465
HIT05_35,20,-0.8073069317580681
HIT05_35,25,-0.162574913154038
HIT05_35,3,-0.07739011276853176
HIT05_35,3,-0.9258975362163225
HIT05_35,3,1.250490599123189
HIT05_35,33,-0.5868286248779334
HIT05_35,5,-0.3145713216850394
HIT06_51,1,-0.39131355619215813
HIT06_51,1,-1.908456963634488
HIT06_51,1,0.06151573971110838
HIT06_51,10,2.163701376167147
HIT06_51,17,0.02680984476961704
HIT06_51,3,0.587062148825118
HIT06_51,3,0.043336461408421435
HIT06_51,3,-0.325207089636937
HIT06_51,5,-0.25744796141783455
HIT07_33,1,-0.15121740109836151
HIT07_33,1,-1.3309605200968284
HIT07_33,1,-2.0661739579523606
HIT07_33,10,0.6203315063462451
HIT07_33,15,0.30645489670445153
HIT07_33,20,0.9133345483517626
HIT07_33,3,1.4630051627737215
HIT07_33,3,-0.43880877742039925
HIT07_33,3,0.1734825399103911
HIT07_33,5,0.5105520024813817
HIT08_54,1,-2.018190715229484
HIT08_54,1,0.743699823319523
HIT08_54,1,-1.4118779167931026
HIT08_54,10,-0.9340672338462244
HIT08_54,15,-0.39472032658042805
HIT08_54,20,0.4866955923405194
HIT08_54,29,0.6694943763467128
HIT08_54,3,1.3192445095964458
HIT08_54,3,0.3020869193837713
HIT08_54,3,0.8052360476384399
HIT08_54,5,0.4323989238238291
